title,description,contributor,author,contributor_note,price,age_group,publisher,isbns,ranks_history,reviews
1 Ragged Ridge Road,,,David Adams Richards,,0.00,,,"[{'isbn10': '0671003542', 'isbn13': '9780671003548'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/1997/08/31/books/books-in-brief-fiction-747866.html', 'article_chapter_link': None}]"
".HACK G.U.   , VOL. 5","This series, set in the future, is about an online, multiplayer game run amok. This volume concludes the tale.",by Hamazaki Tatsuya,Hamazaki Tatsuya,,10.99,,TOKYOPOP,[],[],"[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
...and the Horse He Rode In On: The People V. Kenneth Starr,,,James Carville,,0.00,,,"[{'isbn10': '0684857340', 'isbn13': '9780684857343'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/1998/10/18/books/preaching-to-the-converted.html', 'article_chapter_link': None}]"
"------, THAT'S DELICIOUS",,by Action Bronson with Rachel Wharton,Action Bronson with Rachel Wharton,,0.00,,Abrams,"[{'isbn10': '1419726552', 'isbn13': '9781419726552'}]","[{'primary_isbn10': '1419726552', 'primary_isbn13': '9781419726552', 'rank': 9, 'list_name': 'Advice How-To and Miscellaneous', 'display_name': 'Advice, How-To & Miscellaneous', 'published_date': '2017-10-01', 'bestsellers_date': '2017-09-16', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 1}]","[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
(RE)BORN IN THE USA,The soccer commentator describes how he embraced American popular culture while growing up in Liverpool.,by Roger Bennett,Roger Bennett,,0.00,,Dey Street,"[{'isbn10': '0062958690', 'isbn13': '9780062958693'}, {'isbn10': '0062958720', 'isbn13': '9780062958723'}]","[{'primary_isbn10': '0062958690', 'primary_isbn13': '9780062958693', 'rank': 3, 'list_name': 'Combined Print and E-Book Nonfiction', 'display_name': 'Combined Print & E-Book Nonfiction', 'published_date': '2021-07-18', 'bestsellers_date': '2021-07-03', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '0062958690', 'primary_isbn13': '9780062958693', 'rank': 1, 'list_name': 'Hardcover Nonfiction', 'display_name': 'Hardcover Nonfiction', 'published_date': '2021-07-18', 'bestsellers_date': '2021-07-03', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}]","[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
'TIS THE SEASON,"Two classic holiday stories — ""Under the Christmas Tree"" (2009) and ""Midnight Confessions"" (2010) — plus the novella ""Backward Glance"" (1991).",by Robyn Carr,Ron Carr,,0.00,,Harlequin Mira,"[{'isbn10': '0778316645', 'isbn13': '9780778316640'}]","[{'primary_isbn10': '0778316645', 'primary_isbn13': '9780778316640', 'rank': 18, 'list_name': 'Mass Market Paperback', 'display_name': 'Paperback Mass-Market Fiction', 'published_date': '2014-11-30', 'bestsellers_date': '2014-11-15', 'weeks_on_list': 0, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '0778316645', 'primary_isbn13': '9780778316640', 'rank': 6, 'list_name': 'Mass Market Paperback', 'display_name': 'Paperback Mass-Market Fiction', 'published_date': '2014-11-16', 'bestsellers_date': '2014-11-01', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 1, 'dagger': 0}]","[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
'Til Faith Do Us Part: How Interfaith Marriage is Transforming America,,,Naomi Schaefer Riley,,0.00,,,"[{'isbn10': '0199873747', 'isbn13': '9780199873746'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/2013/05/26/books/review/til-faith-do-us-part-by-naomi-schaefer-riley.html', 'article_chapter_link': None}]"
'TIL DEATH DO US PART,A matchmaker in Victorian England turns to a crime novelist for help when she starts receiving a series of disturbingly personalized trinkets.,by Amanda Quick,Amanda Quick,,0.00,,Berkley,"[{'isbn10': '069819361X', 'isbn13': '9780698193611'}, {'isbn10': '039917446X', 'isbn13': '9780399174469'}]","[{'primary_isbn10': '069819361X', 'primary_isbn13': '9780698193611', 'rank': 15, 'list_name': 'Combined Print and E-Book Fiction', 'display_name': 'Combined Print & E-Book Fiction', 'published_date': '2016-05-08', 'bestsellers_date': '2016-04-23', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}, {'primary_isbn10': '069819361X', 'primary_isbn13': '9780698193611', 'rank': 9, 'list_name': 'E-Book Fiction', 'display_name': 'E-Book Fiction', 'published_date': '2016-05-08', 'bestsellers_date': '2016-04-23', 'weeks_on_list': 1, 'rank_last_week': 0, 'asterisk': 0, 'dagger': 0}]","[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
'TIL DEATH,,by Sharon Sala,Sharon Sala,,0.00,,Harlequin Mira,"[{'isbn10': '0778314278', 'isbn13': '9780778314271'}]",[],"[{'book_review_link': '', 'first_chapter_link': '', 'sunday_review_link': '', 'article_chapter_link': ''}]"
"'THE HIGH ROAD TO CHINA: GEORGE BOGLE, THE PANCHEN LAMA AND THE FIRST BRITISH EXPEDITION TO TIBET'",,,KATE TELTSCHER,,0.00,,,"[{'isbn10': '0374217009', 'isbn13': '9780374217006'}]",[],"[{'book_review_link': '', 'first_chapter_link': None, 'sunday_review_link': 'https://www.nytimes.com/2007/04/22/books/review/Stuart.t.html', 'article_chapter_link': None}]"
